───────────────────────────────────────────────────────────────────────────────
Language                 Files     Lines   Blanks  Comments     Code Complexity
───────────────────────────────────────────────────────────────────────────────
TypeScript                 194     32041     3684      2089    26268       4546
───────────────────────────────────────────────────────────────────────────────
~nts/diagram/Diagram3DView.tsx      1946      289       220     1437        294
components/DiagramCanvas.tsx        1380      114        40     1226        359
~ents/ComponentEditorModal.tsx      1315       69        11     1235        195
services/threePrimitives.ts         1258      170       206      882        100
components/MainLayout.tsx           1021      102        49      870        240
~nents/diagram/DiagramNode.tsx      1009      103        51      855        177
components/SettingsPanel.tsx        1003       58        24      921        144
components/Inventory.tsx             976       85        30      861        153
components/ChatPanel.tsx             866       61        31      774        155
~ts/diagram/componentShapes.ts       697       56        97      544         74
~gemini/features/components.ts       531       60        37      434         92
~ervices/componentValidator.ts       525       70        96      359         71
components/ChatMessage.tsx           479       35        20      424         65
services/gemini/prompts.ts           389      149         4      236         63
~__/componentValidator.test.ts       379       79        29      271         15
components/ThreeViewer.tsx           350       18         3      329         77
hooks/useConversations.ts            349       44        30      275         72
services/storage.ts                  324       40        32      252         46
~ests__/DiagramCanvas.test.tsx       316       62        12      242          3
services/aiContextBuilder.ts         316       48        55      213         62
services/liveAudio.ts                312       42        19      251         39
~ents/ConversationSwitcher.tsx       306       22        14      270         47
~vices/gemini/features/chat.ts       299       35        16      248         90
~mponents/layout/AppHeader.tsx       294       24         2      268         77
contexts/LayoutContext.tsx           291       36        24      231         62
types.ts                             290       37        33      220         41
services/responseParser.ts           280       31        46      203         30
hooks/useAIActions.ts                251       29        12      210         36
hooks/useInventorySync.ts            245       38        52      155         33
~ices/gemini/features/media.ts       245       25         3      217         43
services/gemini/types.ts             243       20        24      199          2
hooks/useToast.tsx                   227       33        36      158         16
~/settings/ProfileSettings.tsx       214       16         3      195         16
services/fzpzLoader.ts               213       23        10      180         51
~nents/diagram/diagramState.ts       208       35        12      161         53
~_tests__/ThreeViewer.test.tsx       197        7         0      190          1
~ks/actions/diagramHandlers.ts       196       31         1      164         22
~t/assistant/AssistantTabs.tsx       192       17         1      174         23
~onents/inventory/BOMModal.tsx       185       18         0      167         25
~ces/threeCodeRunner.worker.ts       184       24        21      139         42
~xts/VoiceAssistantContext.tsx       182       24         7      151         32
services/serialService.ts            180       19        31      130         32
~ervices/userProfileService.ts       167       27         7      133         16
~onents/settings/SyncPanel.tsx       166       11         2      153         10
contexts/InventoryContext.tsx        158       22        12      124         23
contexts/DiagramContext.tsx          158       18         2      138         37
services/gitService.ts               155       20         4      131          4
~s/inventory/InventoryItem.tsx       149        9         0      140         16
