───────────────────────────────────────────────────────────────────────────────
Language                 Files     Lines   Blanks  Comments     Code Complexity
───────────────────────────────────────────────────────────────────────────────
TypeScript                 189     31765     3575      1995    26195       4470
───────────────────────────────────────────────────────────────────────────────
~nts/diagram/Diagram3DView.tsx      1946      289       220     1437        294
components/DiagramCanvas.tsx        1380      114        40     1226        359
~ents/ComponentEditorModal.tsx      1288       68        11     1209        181
services/threePrimitives.ts         1191      160       198      833         98
components/MainLayout.tsx           1016      101        48      867        237
components/SettingsPanel.tsx         985       57        24      904        137
~nents/diagram/DiagramNode.tsx       980      100        48      832        170
components/Inventory.tsx             976       85        30      861        153
components/ChatPanel.tsx             866       61        31      774        155
~ts/diagram/componentShapes.ts       686       55        96      535         71
data/initialInventory.ts             596        1         0      595         32
~gemini/features/components.ts       530       60        37      433         91
~ervices/componentValidator.ts       525       70        96      359         71
components/ChatMessage.tsx           479       35        20      424         65
services/gemini/prompts.ts           384      148         4      232         58
~__/componentValidator.test.ts       379       79        29      271         15
components/ThreeViewer.tsx           350       18         3      329         77
hooks/useConversations.ts            349       44        30      275         72
services/storage.ts                  320       40        32      248         45
~ests__/DiagramCanvas.test.tsx       316       62        12      242          3
services/liveAudio.ts                312       42        19      251         39
services/aiContextBuilder.ts         310       46        54      210         60
~ents/ConversationSwitcher.tsx       306       22        14      270         47
~vices/gemini/features/chat.ts       299       35        16      248         90
~mponents/layout/AppHeader.tsx       294       24         2      268         77
contexts/LayoutContext.tsx           291       36        24      231         62
services/responseParser.ts           280       31        46      203         30
types.ts                             262       34        30      198         40
hooks/useAIActions.ts                251       29        12      210         36
~ices/gemini/features/media.ts       245       25         3      217         43
hooks/useInventorySync.ts            245       38        52      155         33
services/gemini/types.ts             243       20        24      199          2
hooks/useToast.tsx                   227       33        36      158         16
~/settings/ProfileSettings.tsx       214       16         3      195         16
~nents/diagram/diagramState.ts       203       34         8      161         53
~_tests__/ThreeViewer.test.tsx       197        7         0      190          1
~ks/actions/diagramHandlers.ts       196       31         1      164         22
~t/assistant/AssistantTabs.tsx       192       17         1      174         23
~onents/inventory/BOMModal.tsx       185       18         0      167         25
~ces/threeCodeRunner.worker.ts       184       24        21      139         42
~xts/VoiceAssistantContext.tsx       182       24         7      151         32
services/serialService.ts            180       19        31      130         32
components/diagram/Wire.tsx          173       18         5      150         40
~ervices/userProfileService.ts       167       27         7      133         16
~onents/settings/SyncPanel.tsx       166       11         2      153         10
contexts/DiagramContext.tsx          158       18         2      138         37
services/gitService.ts               155       20         4      131          4
~layout/AnalyticsDashboard.tsx       148       14         5      129          8
~mponents/AssistantSidebar.tsx       145       13        18      114         15
~nts/layout/DebugWorkbench.tsx       138       12         0      126         17
~s/inventory/InventoryList.tsx       138       12         2      124         15
hooks/useNeuralLink.ts               136       20         2      114         22
~s/inventory/InventoryItem.tsx       133        6         0      127         13
hooks/useResizeHandler.ts            119       15        24       80         12
services/simulationEngine.ts         119       19        19       81         29
components/ErrorBoundary.tsx         118       17         5       96          6
~/settings/DeveloperPortal.tsx       117        9         0      108          7
~s/diagram/PredictiveGhost.tsx       117       14         3      100         17
~ents/inventory/MacroPanel.tsx       116        8         0      108         11
services/authService.ts              115       21        10       84         11
~s__/AssistantSidebar.test.tsx       115       18         4       93          0
~nents/diagram/TacticalHUD.tsx       112        9         5       98          5
~ces/circuitAnalysisService.ts       111       14        11       86         33
~omponents/auth/Gatekeeper.tsx       111       11         0      100         22
contexts/AuthContext.tsx             110       13         1       96          9
contexts/InventoryContext.tsx        109       14         9       86         15
~ts/layout/ProjectTimeline.tsx       109       10         0       99          7
~__/userProfileService.test.ts       107       15         5       87          7
contexts/TutorialContext.tsx         107       14         3       90         17
services/aiMetricsService.ts         106       15         7       84         27
~ices/gesture/GestureEngine.ts       105       15         2       88         16
~ponents/layout/OmniSearch.tsx       104        9         0       95         15
services/ragService.ts               103       18         9       76         10
~nts/settings/ConfigPortal.tsx       102        8         0       94          3
~ings/LocalizationSettings.tsx       102        7         1       94         16
~ents/layout/BootcampPanel.tsx       101        9         1       91         25
hooks/useHoverBehavior.ts            100       13        26       61          9
contexts/UserContext.tsx             100       13         7       80         10
contexts/TelemetryContext.tsx         98       12        11       75         10
services/standardsService.ts          96        8         3       85         11
~ests__/SettingsPanel.test.tsx        94       22        15       57          1
contexts/DashboardContext.tsx         94       13         0       81         10
~hboard/OscilloscopeWidget.tsx        92       11         2       79          9
~nents/diagram/DiffOverlay.tsx        92        6         1       85          3
~texts/NotificationContext.tsx        92       16         2       74         18
services/gemini/parsers.ts            91        6        18       67         29
~ts/layout/SystemLogViewer.tsx        90        7         1       82         14
~s/layout/HardwareTerminal.tsx        90        6         5       79         17
contexts/HUDContext.tsx               87       15         4       68         15
~nts/layout/SecurityReport.tsx        86        9         0       77          7
services/predictionEngine.ts          86        7        10       69          8
~ents/diagram/NeuralCursor.tsx        84       10         4       70          9
contexts/MacroContext.tsx             82        9         0       73          6
~ices/visionAnalysisService.ts        81       10         7       64         12
~ontexts/SimulationContext.tsx        81       10        10       61          9
~ponents/layout/StatusRail.tsx        81        4         0       77         11
~vices/error/diagnosticsHub.ts        80       14         4       62          6
services/syncService.ts               80        9        13       58          4
~oks/actions/canvasHandlers.ts        80       11         0       69          0
~/__tests__/ChatPanel.test.tsx        79       11         9       59          0
~feedback/correctionService.ts        79       13         1       65          6
services/datasetService.ts            79       15        10       54         15
~/diagram/ConflictResolver.tsx        77        5         0       72          0
index.tsx                             77       10         2       65          5
services/knowledgeService.ts          76        9         1       66          7
~mponents/layout/AppLayout.tsx        75        9         0       66         16
~/settings/DiagnosticsView.tsx        74        7         0       67          8
services/gemini/client.ts             74        8        13       53          4
services/securityAuditor.ts           74       12         7       55         23
~actions/appControlHandlers.ts        73       10        17       46          6
~ComponentEditorModal.test.tsx        72       11         0       61          1
~s/dashboard/DashboardView.tsx        72        6         2       64         12
~nents/layout/SystemVitals.tsx        71        6         0       65          6
~/__tests__/Inventory.test.tsx        69       13         3       53          0
App.tsx                               69        2         0       67          0
~ture/GestureMetricsService.ts        68       13         1       54          8
~ponents/layout/CyberToast.tsx        68        6         0       62         11
~vices/logging/auditService.ts        68       13         1       54          9
~omponents/layout/CommsLog.tsx        68        4         0       64         17
~onents/layout/SimControls.tsx        67        8         5       54         18
~sts__/securityAuditor.test.ts        67        5         0       62          1
~ts__/useConversations.test.ts        67        9         0       58          6
~nents/diagram/diagramUtils.ts        67       10        12       45         20
services/diagramDiff.ts               66       11         7       48         11
~ts__/aiMetricsService.test.ts        65       10         0       55          1
~vices/peerDiscoveryService.ts        65       12         4       49          4
~ents/layout/MentorOverlay.tsx        65        8         0       57          2
services/bomService.ts                65        9         5       51          8
~s/inventory/inventoryUtils.ts        65        3         6       56          8
~ces/gemini/features/wiring.ts        63        7         2       54          2
~s/dashboard/WidgetWrapper.tsx        63        6         0       57          5
~s/layout/CollaboratorList.tsx        62        9         1       52          2
services/webRTCService.ts             61       13         1       47         10
hooks/actions/navHandlers.ts          61        8         0       53          4
hooks/useClickOutside.ts              60       10        19       31          7
services/healthMonitor.ts             60        8         0       52         13
~emini/features/suggestions.ts        60        6         4       50          3
~s/dashboard/HeatmapWidget.tsx        60        6         2       52          8
services/collabService.ts             58       11         7       40          6
services/api/tokenService.ts          58       10         0       48          6
~xts/AssistantStateContext.tsx        58        8         1       49          8
components/IconButton.tsx             58        8         7       43          7
~gemini/features/datasheets.ts        57        4         3       50          6
~nts/dashboard/AnalogGauge.tsx        57        3         0       54          0
~vices/config/configManager.ts        55        7         7       41         15
~ents/diagram/RemoteCursor.tsx        53        4         0       49          0
services/api/apiGateway.ts            52        9         7       36          6
hooks/actions/index.ts                52        6        10       36          1
hooks/useAutonomySettings.ts          51        8         2       41          4
~ervices/datasheetProcessor.ts        51        6         7       38          5
~vices/search/searchIndexer.ts        50        8         6       36          6
services/viz/vizEngine.ts             49       10         6       33          3
~board/LogicAnalyzerWidget.tsx        49        4         1       44         16
~ts/diagram/MismatchMarker.tsx        48        4         0       44          0
~rvices/gemini/features/hud.ts        48        9         6       33          5
contexts/HealthContext.tsx            47        7         1       39          7
~rvices/connectivityService.ts        47        7         5       35          0
~/analytics/projectAnalyzer.ts        47        7         6       34         12
data/tutorials/index.ts               46        1         0       45         14
hooks/useActionHistory.ts             44        8         0       36          2
~nents/dashboard/Sparkline.tsx        43        5         0       38          2
services/macroEngine.ts               43        8         3       32          5
contexts/SelectionContext.tsx         41        6         0       35         10
hooks/actions/types.ts                40        3        10       27          5
